account,d1,d2,d3,d4,d5,d6,d7,d8,d9
576753,52,27,18,15,13,11,9,8,7
6263,47,31,20,15,12,10,10,8,7
349456,50,26,21,15,13,11,9,8,7
52114,49,30,20,16,12,11,8,7,7
185446,48,29,20,16,12,11,10,8,6
209318,47,28,19,15,14,11,10,8,8
8568,45,27,22,17,12,11,10,8,8
980183,49,29,20,15,12,11,10,8,6
77678,48,26,21,16,12,11,10,8,8
8539,52,26,20,14,13,10,10,8,7
61509,49,29,18,16,12,11,9,8,8
4411,46,31,21,14,12,11,10,8,7
4112,47,29,20,16,13,10,8,9,8
7270,50,28,20,16,12,10,9,8,7
4572,44,31,21,15,13,11,10,8,7
59223,49,26,21,16,12,11,10,8,7
2416,50,30,19,16,12,9,9,8,7
519025,45,28,21,17,13,11,9,8,8
8356,49,28,19,16,13,11,9,8,7
63666,49,26,20,15,13,11,10,9,7
20222,51,26,18,16,11,11,10,9,8
965418,46,31,19,16,13,11,9,8,7
570059,51,29,18,16,11,10,10,8,7
82937,48,27,21,15,13,10,9,9,8
3984,51,27,18,14,13,11,10,8,8
996735,44,30,21,17,13,11,10,7,7
6697,47,27,19,16,14,12,9,8,8
90123,52,26,19,14,11,12,9,9,8
631032,46,31,20,14,13,11,10,8,7
274377,47,28,20,15,12,12,9,9,8
39450,46,27,22,16,12,11,10,9,7
889249,47,30,21,15,12,11,9,8,7
44042,49,27,21,16,13,11,8,8,7
3307,46,30,22,14,13,11,9,8,7
311359,47,29,20,16,14,10,9,8,7
65193,50,28,21,14,13,9,8,9,8
677542,47,28,21,16,12,11,9,8,8
55790,51,28,19,15,12,11,9,8,7
5748,48,26,21,17,12,11,9,8,8
80541,51,28,19,15,12,11,9,8,7
238022,48,26,19,17,13,11,10,8,8
90474,52,26,20,16,12,10,9,8,7
5638,49,25,21,17,12,11,9,8,8
672199,47,30,18,16,13,11,9,8,8
3995,49,26,19,17,12,11,10,8,8
568816,47,30,20,15,13,10,9,8,8
74021,48,27,21,14,14,11,10,8,7
48190,51,30,19,14,11,9,9,9,8
28238,48,28,19,17,12,12,9,8,7
458057,49,28,21,16,13,9,9,8,7
945147,51,26,20,16,12,11,9,8,7
771460,47,29,21,16,12,10,9,9,7
2329,51,28,20,15,13,10,8,8,7
4960,49,30,18,15,12,11,9,9,7
371322,48,30,19,16,13,10,9,8,7
809761,47,30,19,14,14,10,10,8,8
15940,46,27,21,16,14,11,9,8,8
55789,51,29,18,15,12,11,9,8,7
8672,49,28,20,16,12,11,10,7,7
1397,51,29,20,14,11,11,10,7,7
74063,50,28,20,16,11,10,10,8,7
8506,50,30,20,14,11,11,9,8,7
266418,50,26,20,16,12,11,9,8,8
366825,47,31,19,15,12,10,11,8,7
91204,45,27,22,17,13,10,9,9,8
8894,51,27,18,17,13,10,9,8,7
25013,51,26,22,16,12,10,8,8,7
421653,47,30,19,17,13,10,9,8,7
67058,48,28,19,16,12,12,9,9,7
655105,50,29,20,14,13,11,8,8,7
13475,51,27,21,15,11,10,9,9,7
233927,49,29,21,15,12,10,9,8,7
133551,46,29,22,15,12,11,9,9,7
12849,46,28,21,16,13,11,10,8,7
43888,45,31,22,15,12,11,9,8,7
890039,45,28,22,16,13,12,9,8,7
24288,51,27,18,16,13,10,9,9,7
17802,50,26,19,16,13,12,8,9,7
6721,52,26,18,14,13,11,10,8,8
13635,46,29,19,16,12,11,9,10,8
29110,49,27,20,17,13,10,9,8,7
443159,48,28,21,15,12,10,9,9,8
4878,48,27,19,17,12,11,10,9,7
7399,50,28,20,15,13,10,9,8,7
6379,44,32,22,14,13,10,10,8,7
9238,48,28,21,15,12,11,10,8,7
36916,50,26,19,16,13,11,9,8,8
28388,46,27,19,17,14,11,10,8,8
8785,47,29,20,16,13,10,9,9,7
6011,46,29,20,16,12,11,9,9,8
4995,48,28,20,17,13,10,9,7,8
189623,46,30,19,16,12,11,10,9,7
28838,46,30,21,16,13,11,9,8,6
9946,49,27,19,16,12,11,10,9,7
240399,50,30,21,14,11,11,9,8,6
243351,46,30,20,16,12,11,10,8,7
9288,50,27,19,16,12,10,10,9,7
808775,51,27,18,15,13,11,9,8,8
471123,50,28,19,14,13,11,9,8,8
642832,49,27,19,16,13,11,9,8,8
660661,48,29,19,16,13,11,8,9,7
5411,52,26,21,14,12,10,9,8,8
35946,45,29,21,16,13,11,9,8,8
6350,47,30,20,15,13,11,9,8,7
6729,49,29,19,16,12,11,9,7,8
57970,46,27,22,16,13,11,9,9,7
245420,49,28,18,16,13,11,9,9,7
15100,46,30,20,15,12,11,10,9,7
562857,50,27,20,16,12,10,9,8,8
3366,51,28,19,16,12,11,9,7,7
319104,46,28,21,15,13,11,9,9,8
804041,48,28,20,15,14,11,9,8,7
94808,50,29,18,16,13,10,9,8,7
80203,45,30,19,15,14,12,9,9,7
244200,49,29,21,14,12,10,9,8,8
198108,45,26,22,16,14,11,9,9,8
4527,48,29,20,16,13,11,9,7,7
304212,50,26,21,15,13,11,9,7,8
602925,48,29,18,16,13,11,9,8,8
9849,46,29,21,15,13,12,8,8,8
531470,46,28,21,16,12,12,9,9,7
88719,49,26,19,17,13,11,9,9,7
2941,48,29,21,14,13,11,10,7,7
411741,46,27,20,16,13,11,9,9,9
649102,50,28,20,15,13,10,9,8,7
42689,49,28,20,15,12,10,10,9,7
52101,50,27,21,16,12,11,8,8,7
374108,50,28,21,14,12,10,10,8,7
87751,45,29,22,14,13,10,10,9,8
432897,46,27,22,16,12,11,9,9,8
3114,49,28,20,15,14,10,9,8,7
35525,44,30,21,16,13,10,9,9,8
835527,51,27,20,15,13,11,8,8,7
970815,48,30,19,15,13,10,9,8,8
5796,47,29,18,16,13,12,10,8,7
159519,51,29,21,14,12,9,9,9,6
27768,50,28,19,14,13,11,9,9,7
1959,46,29,21,17,11,11,10,7,8
929876,48,28,19,15,13,11,11,8,7
94507,50,30,18,16,11,11,9,7,8
36077,50,27,20,15,12,10,10,9,7
513236,49,27,20,16,12,10,9,9,8
306124,47,28,19,17,14,10,9,8,8
43928,45,30,20,17,12,11,9,9,7
8816,50,26,18,17,12,11,10,8,8
5409,47,27,21,16,14,10,9,9,7
83721,50,30,19,16,12,11,8,7,7
5045,51,26,18,16,13,11,9,9,7
349331,49,28,21,15,13,10,9,8,7
862368,50,27,19,15,13,11,9,8,8
364342,50,28,20,15,12,10,10,8,7
8633,46,29,21,16,12,10,9,9,8
4561,51,27,19,14,14,10,9,8,8
414064,47,27,21,16,12,12,10,8,7
192896,51,26,19,14,13,12,9,9,7
244358,47,28,21,15,12,12,9,8,8
2798,46,28,22,15,13,11,9,8,8
7040,47,28,22,14,14,10,9,8,8
33920,47,28,20,16,13,11,9,9,7
2805,50,27,20,15,13,11,8,8,8
338273,45,29,21,16,13,12,9,8,7
51936,45,30,22,15,12,10,9,9,8
65641,51,26,19,15,13,11,10,8,7
6136,49,27,19,14,14,10,10,9,8
22019,48,30,21,14,13,11,8,8,7
208141,50,29,20,14,13,10,10,7,7
255826,47,30,19,15,12,10,10,9,8
28047,46,28,22,16,13,10,10,8,7
1719,46,27,21,17,12,12,10,8,7
8185,45,29,20,17,13,12,9,8,7
71794,47,27,20,16,12,11,10,9,8
709067,50,28,21,15,13,10,9,7,7
53281,51,28,19,15,12,11,9,8,7
25417,48,27,21,15,13,11,10,8,7
2385,45,30,19,17,12,11,9,9,8
89947,49,28,19,17,12,10,10,7,8
249273,45,32,19,16,12,11,9,8,8
8822,46,30,18,15,13,11,10,9,8
8802,50,26,20,15,14,11,9,8,7
144895,49,27,21,16,12,10,10,8,7
15882,49,27,21,16,12,10,9,9,7
61334,47,30,18,17,13,10,9,9,7
86674,46,30,21,16,12,10,9,8,8
211554,50,29,18,14,14,11,9,8,7
38216,50,29,21,15,12,9,9,8,7
684099,47,29,20,15,13,11,10,8,7
545541,50,29,18,15,13,11,9,8,7
126364,50,29,18,16,11,11,9,8,8
693207,46,30,18,16,14,11,10,8,7
3723,51,26,21,15,13,10,8,9,7
573882,50,28,20,15,11,11,10,8,7
99491,48,30,19,14,13,11,10,8,7
85095,47,28,20,16,13,11,9,9,7
95591,50,29,19,14,14,10,8,8,8
412448,45,31,19,16,13,11,9,8,8
5948,46,28,21,16,14,10,9,8,8
860228,47,31,19,15,13,10,10,8,7
7156,47,27,22,14,13,11,10,9,7
8601,49,25,22,16,12,12,8,9,7
92363,49,28,18,15,13,11,10,8,8
4564,44,30,21,16,14,10,8,9,8
52970,49,27,19,16,14,10,9,8,8
94821,44,30,21,16,13,12,9,8,7
4526,49,26,19,17,12,11,9,9,8
634423,51,28,21,15,12,10,8,8,7
2948,49,28,19,15,13,11,10,8,7
6221,50,27,19,16,13,11,9,8,7
26014,51,28,18,15,13,11,10,7,7
36924,51,27,20,16,12,10,9,8,7
7417,46,27,19,16,13,12,10,9,8
46780,52,26,20,15,12,10,9,9,7
83102,45,28,19,17,13,11,10,9,8
471420,49,26,22,15,13,11,9,8,7
1311,45,30,22,17,12,10,9,8,7
1063,45,28,21,16,13,12,9,8,8
23514,49,29,20,15,13,10,9,8,7
114216,50,29,19,15,12,11,10,8,6
822652,46,27,20,17,14,10,9,8,9
80262,49,28,20,16,13,10,9,7,8
3494,51,26,20,15,13,11,9,8,7
4768,45,29,22,15,14,10,9,9,7
8111,50,30,18,16,11,12,8,8,7
172505,49,26,20,17,13,11,9,8,7
42456,51,27,19,15,14,10,9,8,7
5900,51,27,21,14,11,11,9,8,8
738746,48,29,20,16,12,10,9,8,8
86210,50,29,18,15,13,11,10,7,7
428231,50,27,20,16,13,10,9,8,7
5179,49,26,21,15,12,11,10,8,8
5986,49,27,19,15,13,11,10,8,8
54779,51,25,20,16,13,11,9,8,7
522458,51,25,20,17,13,11,9,7,7
848734,50,27,21,14,12,11,9,8,8
42922,47,28,20,16,14,10,9,8,8
91792,47,30,20,15,13,11,9,8,7
8940,47,26,21,17,13,10,9,9,8
3837,45,29,21,17,13,10,9,8,8
34641,45,30,22,14,13,11,9,8,8
243108,47,30,21,15,13,10,9,8,7
30700,45,30,21,14,13,11,10,8,8
2305,46,30,20,15,14,10,10,7,8
6596,46,29,22,15,12,10,10,8,8
402712,46,27,22,17,12,12,9,8,7
5934,46,29,19,17,13,10,9,9,8
39883,46,26,21,17,14,10,10,8,8
664836,47,30,20,14,13,12,9,8,7
408915,48,28,20,15,14,10,9,8,8
34323,50,29,19,14,13,12,8,8,7
82436,47,29,20,16,13,11,9,8,7
669021,50,28,20,15,12,10,9,8,8
536489,51,27,19,16,12,11,9,8,7
82311,50,29,19,14,13,10,10,7,8
4123,51,26,21,14,12,11,9,8,8
46021,45,31,20,17,12,10,9,8,8
316197,49,30,19,16,11,11,9,7,8
89529,48,27,20,16,14,10,9,9,7
429075,45,29,22,17,13,10,8,8,8
91253,47,29,21,16,13,10,8,8,8
33255,46,30,19,16,13,11,9,8,8
821439,48,29,21,15,12,10,9,8,8
188774,48,30,19,16,13,10,8,8,8
3435,47,28,20,16,12,11,9,9,8
180737,50,27,21,14,13,10,9,9,7
94620,49,28,18,15,13,11,9,9,8
70541,47,30,21,15,12,11,9,8,7
1461,49,26,22,16,12,10,9,8,8
3391,46,30,21,16,13,10,8,8,8
679637,45,29,21,15,13,11,9,9,8
5973,46,28,20,16,13,12,9,8,8
209087,49,29,21,15,11,11,9,8,7
94889,49,30,19,15,13,10,9,8,7
972900,45,31,19,15,13,12,9,8,8
91532,50,28,18,14,13,11,10,9,7
34428,50,28,20,15,12,10,10,8,7
637571,47,30,19,15,13,11,9,9,7
852763,45,29,21,16,13,10,10,9,7
31598,46,27,22,15,13,12,10,8,7
1909,52,25,18,15,13,11,10,9,7
1978,49,29,19,15,13,10,10,8,7
58566,49,27,20,15,13,12,9,7,8
451279,47,29,20,16,12,10,10,9,7
919951,46,29,21,14,13,12,9,9,7
4863,47,29,20,16,13,10,9,9,7
125780,48,27,21,17,12,11,8,8,8
5215,46,28,22,17,11,12,9,8,7
49125,51,25,20,17,12,11,9,7,8
26258,45,28,19,17,14,11,9,9,8
88722,45,29,21,15,12,12,10,8,8
2333,50,29,18,15,13,10,9,9,7
117839,45,29,22,17,12,11,9,8,7
156747,48,30,19,15,13,10,8,9,8
5453,48,26,19,17,13,11,9,9,8
54682,49,29,18,16,12,11,9,9,7
7969,51,29,18,14,13,11,9,8,7
1819,48,30,20,15,11,11,10,7,8
27308,45,30,21,15,13,10,10,8,8
77088,46,27,22,16,13,10,10,8,8
876712,46,28,20,16,13,11,10,8,8
2915,50,28,19,16,12,10,10,8,7
70023,50,28,19,16,13,10,9,8,7
9056,46,27,21,15,14,12,9,8,8
87360,49,29,21,15,12,10,9,8,7
914918,45,30,21,16,13,10,10,8,7
2197,47,29,20,16,12,11,9,8,8
1610,46,27,19,16,14,10,11,9,8
696197,51,29,20,16,13,9,8,7,7
93596,46,30,21,15,13,11,9,8,7
6363,47,30,20,14,14,10,9,8,8
71337,50,26,19,16,13,11,9,8,8
24935,45,27,21,17,13,11,10,9,7
3901,45,28,21,15,13,12,10,8,8
5848,49,28,21,14,11,11,10,9,7
2272,50,29,20,15,13,10,8,8,7
24575,52,27,20,14,11,11,10,8,7
90529,47,29,20,15,13,12,9,7,8
190357,50,27,21,15,11,11,9,8,8
65477,50,28,18,14,14,11,9,8,8
46887,51,27,19,14,14,11,9,8,7
8044,47,28,20,17,12,11,9,8,8
10463,49,30,20,15,12,11,8,8,7
419369,49,29,20,16,11,10,10,8,7
796538,47,28,19,18,12,11,9,8,8
79804,51,26,20,16,12,10,10,8,7
99254,50,26,20,16,12,11,10,8,7
9712,53,26,19,15,13,10,9,8,7
533126,52,29,18,14,12,11,9,8,7
91226,44,31,21,15,14,11,9,8,7
73203,48,27,21,14,13,11,10,8,8
3097,47,28,19,16,12,12,9,9,8
3451,50,29,21,14,11,10,10,8,7
8547,46,30,21,16,14,10,9,7,7
3399,48,27,21,15,12,10,10,9,8
1366,50,26,21,15,13,10,10,8,7
95943,49,26,21,16,13,11,9,8,7
58874,50,26,20,14,13,11,10,8,8
83325,45,30,20,15,12,12,9,9,8
164667,49,28,21,14,13,10,9,9,7
6164,50,30,19,14,12,11,9,8,7
86776,45,30,21,16,12,11,10,8,7
861230,47,28,20,15,13,11,9,9,8
94300,50,27,21,16,12,11,8,8,7
38377,48,29,19,15,12,11,9,9,8
14709,47,27,20,16,14,11,10,7,8
154680,49,28,19,16,13,11,9,8,7
50096,52,30,18,14,12,10,9,8,7
56515,49,28,19,16,13,10,9,8,8
484506,45,26,22,17,13,12,10,8,7
767810,45,31,22,15,12,10,9,9,7
2520,45,28,19,17,13,11,10,9,8
97137,49,30,21,14,13,10,8,8,7
59418,46,27,22,15,13,10,10,9,8
37252,50,27,20,16,12,10,9,8,8
7302,47,26,21,16,14,11,9,8,8
49414,49,27,19,17,12,11,10,7,8
25849,49,26,21,16,13,11,9,7,8
90853,46,29,21,16,12,11,9,9,7
5051,49,27,19,15,13,11,10,9,7
163772,47,31,19,14,13,11,9,8,8
11914,48,27,19,15,13,12,9,9,8
3887,47,27,20,16,13,11,10,8,8
9785,46,27,22,16,13,12,9,8,7
1080,47,30,21,16,12,10,9,8,7
6099,51,26,19,16,12,10,10,8,8
12188,48,30,18,15,14,11,10,7,7
9770,47,28,21,16,12,10,9,9,8
37108,49,30,20,14,13,11,9,7,7
325506,51,27,19,14,13,12,9,8,7
190436,50,28,19,16,13,10,10,8,6
2563,47,28,18,17,14,12,9,8,7
93832,49,29,20,15,12,11,9,8,7
8622,49,27,19,16,13,10,10,8,8
121176,49,27,22,14,13,10,10,8,7
15665,50,28,19,16,12,11,9,8,7
6998,45,30,19,16,14,10,9,9,8
78776,49,29,19,15,13,10,10,8,7
401565,52,26,19,16,13,10,9,8,7
890687,52,26,18,15,13,10,9,9,8
3377,48,27,20,17,12,11,9,8,8
79141,46,29,21,17,12,10,10,8,7
46234,47,27,20,17,13,11,9,9,7
46588,45,28,21,17,13,10,10,8,8
2682,46,30,19,16,13,12,9,8,7
4656,51,27,20,14,13,11,8,8,8
69083,49,28,18,16,13,10,10,8,8
2604,47,28,20,16,13,10,9,9,8
71636,48,27,21,17,12,11,9,8,7
848231,47,29,20,16,12,10,10,8,8
5969,52,26,19,17,13,10,8,8,7
50357,50,28,20,15,12,10,9,8,8
27524,48,29,21,16,12,10,9,8,7
19590,46,31,19,16,13,10,10,8,7
916868,49,30,19,15,12,11,9,8,7
4162,50,25,21,15,13,11,10,8,7
7944,46,28,20,16,14,12,9,8,7
8524,49,26,21,16,12,11,9,8,8
1796,46,30,21,16,12,10,9,9,7
663682,49,29,20,15,12,10,9,8,8
9003,49,29,18,16,13,11,9,7,8
4624,47,27,22,17,12,10,9,8,8
9623,49,29,19,15,13,10,10,8,7
23005,48,27,21,15,13,10,10,8,8
784069,45,29,21,15,12,12,10,8,8
1986,48,26,21,17,13,10,10,8,7
422230,49,29,19,14,14,9,10,8,8
378876,48,30,21,14,12,10,9,9,7
295628,49,29,20,14,13,11,9,8,7
4791,46,31,22,14,12,11,9,8,7
393446,47,30,19,15,13,12,9,9,6
76047,49,30,19,15,13,10,8,9,7
7318,45,30,20,16,12,12,10,8,7
320049,45,29,20,17,13,10,10,9,7
55363,44,30,22,16,13,10,10,8,7
43832,51,28,19,15,12,10,10,7,8
1274,50,26,20,15,14,10,10,8,7
25964,47,27,21,16,13,11,9,9,7
126492,44,30,22,15,13,11,9,8,8
28947,48,29,18,16,12,11,9,9,8
93616,50,30,20,15,13,9,9,7,7
6359,52,28,19,14,12,11,9,8,7
21412,51,25,21,16,12,11,9,8,7
3892,52,27,18,16,12,10,9,8,8
12316,47,30,21,15,14,11,8,7,7
849781,49,30,19,15,13,11,8,8,7
15521,50,29,19,14,12,11,9,8,8
442444,50,29,20,14,11,11,10,8,7
27111,49,27,22,15,12,10,10,8,7
29383,47,28,19,15,14,10,11,9,7
45528,50,26,19,16,14,11,10,7,7
949772,49,29,18,16,13,11,9,8,7
89085,50,29,18,14,13,11,9,8,8
116378,49,29,20,16,12,10,9,8,7
194230,48,29,21,17,11,9,10,8,7
607148,47,27,21,15,12,12,9,9,8
85633,46,29,22,15,12,11,9,8,8
85026,47,31,19,15,13,10,10,8,7
55711,46,30,19,15,14,11,9,9,7
34815,51,25,20,16,12,11,8,9,8
98617,49,26,21,16,13,11,9,8,7
661663,48,30,20,14,13,10,9,9,7
47212,49,29,21,16,11,11,8,8,7
7250,50,29,20,16,11,10,9,8,7
871996,45,29,22,17,13,10,9,8,7
664870,46,30,21,16,12,10,9,8,8
83693,48,29,21,15,12,11,8,8,8
1543,45,27,22,17,12,12,9,9,7
3816,48,30,19,16,13,10,10,7,7
1402,49,27,21,14,13,11,9,8,8
5064,48,28,21,14,12,12,9,8,8
816981,51,28,19,15,12,11,8,9,7
91154,50,27,21,14,13,11,8,8,8
9156,49,27,19,16,13,11,10,8,7
558882,51,27,22,14,12,10,9,8,7
787949,45,29,22,16,12,11,9,8,8
425622,47,30,20,16,12,10,9,8,8
7623,50,29,20,14,12,11,9,8,7
795449,47,29,20,15,13,10,9,9,8
380668,48,30,18,14,13,11,9,9,8
2475,52,26,18,16,13,11,8,8,8
5366,48,28,18,17,13,11,9,8,8
241809,47,31,19,16,12,10,10,8,7
794440,50,27,19,15,13,12,9,8,7
642547,45,28,22,15,13,11,10,8,8
3010,47,27,21,17,13,11,9,8,7
49577,46,31,20,15,13,11,9,7,8
5063,50,29,19,14,13,11,8,8,8
9077,49,26,21,16,13,10,9,9,7
75834,49,28,19,16,13,10,10,8,7
598231,45,29,21,17,13,12,8,8,7
1759,47,28,20,16,13,11,9,8,8
831848,48,29,20,15,12,10,9,9,8
19636,47,28,21,16,12,11,10,8,7
198848,51,27,19,15,13,11,9,8,7
9226,48,29,21,15,12,11,9,8,7
995601,50,26,19,15,13,11,10,9,7
367299,49,26,19,15,14,10,10,9,8
49261,47,28,20,16,13,10,10,8,8
29819,50,28,21,14,13,11,8,7,8
166828,48,27,22,15,12,11,10,8,7
956496,48,27,21,15,13,12,9,8,7
4415,46,29,19,15,14,12,10,8,7
470611,49,29,19,16,13,10,9,8,7
7685,49,27,20,16,13,11,10,7,7
